,isin,text
612,SE0009663826,"Starkt kvartal med ökad efterfrågan&nbsp;Strong quarter with growing demand.Tydliga tecken på återhämtningClear signs of recoveryAmbea AB (publ) today reports that the annual shareholders meeting' held today voted to support all proposals from the board of directors and the nomination committee. Due to the extraordinary situation as a result of the COVID-19 pandemic, the annual shareholders' meeting was carried out through postal voting, without any physical attendance.Ambea AB (publ) rapporterar idag att dagens årsstämma röstade för att stödja samtliga förslag från styrelsen och valberedningen. Mot bakgrund av den extraordinära situation som råder till följd av COVID-19-pandemin genomfördes årsstämman med poströstning, utan fysiskt deltagande.Ambea AB (publ) rapporterar idag att dagens årsstämma röstade för att stödja samtliga förslag från styrelsen och valberedningen. Mot bakgrund av den extraordinära situation som råder till följd av COVID-19-pandemin genomfördes årsstämman med poströstning, utan fysiskt deltagande.Tryggt med genomförda vaccinationer inom äldreomsorgenSecure elderly care with completed vaccinations.Ambea's annual report for 2020 is published today in pdf-format on ambea.com and is also enclosed to this press release. The annual report also contains the quality and sustainability report for 2020. A printed version will be available for distribution during week 19.Ambeas årsredovisning för 2020&nbsp;publiceras idag i pdf-format på ambea.se och biläggs även detta pressmeddelande. Årsredovisningen innehåller också kvalitets- och hållbarhetsrapporten för 2020. Tryckt version kommer att finnas tillgänglig för distribution under vecka 19."
613,SE0009580079,"Under veckan befinner sig en installationstekniker från Acosense hos en kund i Storbritannien där teknikerns uppgift är att installera det instrument som kunden beställde under 2020. Installationen innebär startskottet för flertalet internationella installationer från tidigare kommunicerade affärer, vilka samtliga skjutits upp på grund av de reserestriktioner som införts under pandemin.Torsdagen den 30 september 2021 var den sista dagen i nyttjandeperioden för Acosense AB:s (""Acosense"" eller ""Bolaget"") teckningsoptioner av serie TO 2 (""TO 2""). Totalt nyttjades 6 742 008 TO 2, motsvarande en nyttjandegrad om cirka 86,44 procent. Före nyttjandeperioden avtalade Bolaget dessutom om garantiteckning från externa investerare avseende de optioner som eventuellt ej utnyttjas. Resterande cirka 13,56 procent av TO 2 kommer därmed att tecknas av dessa externa investerare. Teckning sker genom en riktad nyemission av aktier till den fastställda kursen för TO 2. Acosense tillförs därmed totalt cirka 8,03 MSEK före emissionskostnader, motsvarande 100 procent av TO 2.Inför den stundande nyttjandeperioden av Acosense teckningsoption TO2 kan Acosense idag meddela att personer ur styrelse, hela ledningsgruppen, anställda, storägare Hans järvmarker samt ett flertal större teckningsoptionsinnehavare kommer att nyttja sina respektive teckningsoptioner. Utöver detta har Acosense även erhållit garantiåtagande om 8 034 049,44 SEK, totalt 100 procent av det totala emissionsbeloppet.Acosense har erhållit en order om ett instrument från Holmen Paper Bråviken. Det nya instrumentet kommer under en initial utvärderingsperiod á 3 månader att analysera massa och kommer att installeras under september. Instrumentet beräknas vara operationellt under början av oktober.Acosense har fått en order om ett service- och licensavtal för två instrument. Då garantitiden löpt ut har kunden valt signerat ett SLA för fortsatt nyttjande av de båda instrumenten. Avtalet omfattar b.la kontinuerlig uppkoppling mot mjukvaran samt datalagring av processmiljöns mätvärden.Acosense kommer att delta på Aktiespararnas Aktiedagen Stockholm som sänds digitalt från Hotel Birger Jarl i Stockholm tisdag 7 september. Acosense VD Karl Nilsson kommer att presentera bolaget klockan 14:00 följt av en moderatorledd frågestund.Acosense utvecklingsarbete har under 2020 och 2021 bland annat medfört att en hårdvaruuppdatering nu har formaliserats i en patentansökan. Uppdateringen gör att den akustiska upplösningen ökar i betydande omfattning.VD-OrdAcosense kommer att delta på Prohearings som sänds digitalt torsdag 26 aug. Acosense VD Karl Nilsson kommer att presentera bolaget klockan 10:05 följt av en moderatorledd frågestund.Acosense patent har nu blivit godkänt i Sydafrika (170310ZA)."
615,SE0014730719,"ChromoGenics utökar sin organisation genom att rekrytera Susann Klippmark som Business Development Manager. Susann har 13 års erfarenhet av att arbeta inom energibranschen och har varit med och byggt upp olika företag och avdelningar. Nu är hon redo att utveckla ChromoGenics.ChromoGenics expands their organization by appointing Susann Klippmark as Business Development Manager. Susann has 13 years of experience of working in the energy industry and has been a part of building multiple different companies and departments. Now she is ready to develop ChromoGenics.ChromoGenics aviserar förseningar av leveranserChromoGenics erhåller nya beställningar av ConverLight[®] Static på ca 1,1 MSEK från bl. a. Humlegården.ChromoGenics receives a new order for ConverLight® Static of approximately SEK 1.1 million from, among others, Humlegården.The first exercise period of two has now been completed regarding the warrants of series 2020/2022: 1 (""ChromoGenics TO 2020/2022"" or ""Warrant"") that ChromoGenics AB (""ChromoGenics"" or ""the Company"") issued in connection with a rights issue of units at the end of 2020 (""Rights Issue""). ChromoGenics will receive approximately SEK 0.5 million before issue costs through the exercise of the Warrants.Den första utnyttjandeperioden av två är nu genomförd avseende de teckningsoptioner av serie 2020/2022:1 (""ChromoGenics TO 2020/2022"" eller ""Teckningsoption"") som ChromoGenics AB (""ChromoGenics"" eller ""Bolaget"") emitterade i samband med en företrädesemission av units i slutet av 2020 (""Företrädesemissionen""). ChromoGenics tillförs cirka 0,5 MSEK före emissionskostnader genom utnyttjande av Teckningsoptionerna.ChromoGenics AB (""ChromoGenics"" eller ""Bolaget"") informerar idag om att första utnyttjandeperiod för teckningsoptioner av serie 2020/2022:1 (""ChromoGenics TO 2020/2022"" eller ""Teckningsoption"") löper under perioden 13 - 27 september 2021. En (1) Teckningsoption berättigar till teckning av en (1) ny aktie till ett lösenpris motsvarande åttio (80) procent av den volymvägda genomsnittliga betalkursen för Bolagets aktie på Nasdaq First North Growth Market under perioden 26 augusti - 8 september 2021, dock lägst 8,00 SEK och högst 12,00 SEK per aktie. Den volymvägda genomsnittskursen i Bolagets aktie uppgick under mätperioden 26 augusti - 8 september 2021 till cirka 7,83 SEK och således är teckningskursen fastställd till 8,00 SEK.ChromoGenics medverkar idag på Aktiespararnas digitala evenemang Aktiedagen Stockholm 7 september 2021. Ta chansen att lyssna på ChromoGenics nytillträdda VD Fredrik Fränding.De första delleveranserna till den historiskt stora orden från det norska byggbolaget Betonmast Oslo AS har lämnat ChromoGenics fabrik i Uppsala och påbörjat resan mot slutdestinationen Gullhaug Torg 5 i Oslo. Där kommer glasen att installeras i en miljöcertifierad byggnad, som är under uppbyggnad."
619,SE0009269467,"Positiva signaler inför höstens återgång till full drift och återhämtning av medlemsbasenActics delårsrapport för perioden april - juni 2021 offentliggörs torsdag den 22 juli 2021, kl. 07.45.&nbsp;En telefonkonferens hålls samma dag på engelska, klockan 10:00.&nbsp;Actic Group AB (publ) (""Actic"") meddelar att Anders Carlbark lämnar sin tjänst som vd med omedelbar verkan och att Anna Eskhult, CFO utsetts till tillförordnad vd. Därutöver har Olav Thorstad, styrelsemedlem i Actic, rådgivare till McKinsey &amp; Co och tidigare bland annat vd för Sats mellan åren 2007 - 2018 utsetts att stötta Anna Eskhult strategiskt och operativt. Rekryteringsprocessen av en ny vd inleds omgående.Actic har tecknat avtal om en förlängning av nuvarande kreditfacilitet med DnB till 2023-03-31. Villkoren i kreditavtalet är i stort oförändrade, men anpassas delvis under en övergångsperiod med hänsyn till nuvarande marknadssituation. &nbsp;Actic Group AB (publ) höll under tisdagen den 11 maj sin årsstämma varvid följande beslut fattades. Mot bakgrund av rådande situation till följd av Covid-19 genomfördes stämman med poströstning utan fysiskt deltagande.Actic Group:&nbsp;Utmanande inledning på året men förutsättningar för lönsam tillväxt efter pandeminActics delårsrapport för perioden januari - mars 2021 offentliggörs torsdag den 29 april 2021, kl. 07.45En telefonkonferens hålls samma dag på engelska, klockan 10:00.Actic Groups årsredovisning och hållbarhetsrapport för 2020&nbsp;finns nu tillgänglig på bolagets webbplats,&nbsp;acticgroup.com"
622,SE0009548597,"Anna Johansson, CMO på Eatgood har genomfört förvärv av 38&nbsp;923 aktier i bolaget Eatgood under perioden den 22 - 25 oktober. Snittkursen blev 2,64 och totalt förvävades aktier för 102&nbsp;500 kronor.Resultatet från mässorna i slutet av september, The Casual Dining show och The Restaurant Show, är mycket positiva avseende signaler och intresse från marknaden i Storbritannien. Detta avser så väl företag med en restaurang, mindre kedjor med multipla anläggningar som nationella Kedjor i Storbritannien vidare upp till internationella kedjor. Responsen efter mässorna vid uppföljning av kontakter från mässorna ser väldigt positivt ut också. Eatgood har efter lång väntan kunnat genomföra de två första mässorna i London efter ett uppehåll sedan oktober 2019 pga Covid-19. Under dessa två år utan mässor så kan vi konstatera att marknaden har mognat ännu mer avseende luftfriteringsteknik och detta mycket tack vare fortsatt expansion på luftfriteringprodukter för hemma- och konsumentbruk. Det är en stor skillnad på kunders attityder idag då kunder kan berätta vad man vill uppnå, vilka förändringar man vill genomföra och vilka fördelar det medför i att använda Air Fry Technology för dem i sina verksamheter. Idag kan vi fokusera på möjligheter och affärer snarare än att förklara tekniken vilket underlättar och är ett stort steg framåt. Eatgood ser ljuset i tunneln efter 18 månader med nedstängda samhällen globalt, med och på en marknad som är mer redo och mogen än någonsin. Eatgood ser den Brittiska marknaden som ett bra komplement till USA marknaden och som dessutom visar tecken på styrka och mycket positivt intresse för Lightfry och Air Fry Technology.EatGood växlar upp och tar in Anna Johansson som ny marknadschef(CMO). Hon kommer att leda företagets storsatsning på att vidareutveckla varumärket och stärka företagets marknadsposition, med hög fokus på digital närvaro och media samt mässor med ökad försäljning som tydligt mål.Halvårsrapport, andra kvartalet 2021I spåren av Covid-19 och en återstart av samhällen och däribland restaurangbranschen med en näst intill global omfattning så har oljepriset för vegetabiliska oljor gått upp i pris avsevärt under kort tid. Även innan Covid-19 så kände marknader av skenande priser med uppgångar på flera 100% bland annat i Sydafrika. Utöver detta så är det också ett politiskt driv mot fossilfria bränslen såsom t.ex diesel till de tunga fordonen i transportsektorn vilket gör att det är ännu fler aktörer som slåss om samma produkt och råvara vilket i detta fallet är vegetabiliska oljor som prissätts på en global marknad - råvarubörser - på samma sätt metaller, kakao och andra råvaror. Efter att demokraterna tog över makten i Vita huset, USA så har den nya ledningen med president Joe Biden i spetsen aviserat tydliga satsningar på en mer hållbar miljö vilket inkluderat satsningar på fossilfria drivmedel baserat på vegetabiliska oljor. Riskkonsulter från USA, som kontaktat Eatgood avseende Lightfry och luftfritering, anser att oljebranschen som är riktad mot att sälja drivmedel till fordon är i en starkare position och har lättare att ta ut ett högre pris från konsumenter och kommersiella aktörer än vad restaurangnäringen har gentemot sina kunder. Restaurangnäringen är mycket mer priskänslig framför allt i USA. När fler aktörer efterfrågar samma råvara och inga större nya mängder tillförs marknaden kommer den ökade efterfrågan driva upp priset på vegetabiliska oljor med risk och stor sannolikhet för brist och eller ransonering under det fjärde kvartalet 2021. Detta scenario innebör att man bör se över sin situation och restaurangverksamhet om den till stor del baseras på oljefritering för att kunna tillaga mat till försäljning. Vad händer om och när det blir oljebrist? Hur kan en restaurang/restaurangkedja säkerställa drift av sin verksamhet? För att hantera dessa risker så är Lightfry med luftfriteringsteknik ett spår som blir och ter sig allt mer intressant på marknaden för många aktörer. ""Air is the new oil"" - renare, billigare och bättre - med oändlig tillgång!I spåren av Covid-19 och en återstart av samhällen och däribland restaurangbranschen med en näst intill global omfattning så har oljepriset för vegetabiliska oljor gått upp i pris avsevärt under kort tid. Även innan Covid-19 så kände marknader av skenande priser med uppgångar på flera 100% bland annat i Sydafrika. Utöver detta så är det också ett politiskt driv mot fossilfria bränslen såsom t.ex diesel till de tunga fordonen i transportsektorn vilket gör att det är ännu fler aktörer som slåss om samma produkt och råvara vilket i detta fallet är vegetabiliska oljor som prissätts på en global marknad - råvarubörser - på samma sätt metaller, kakao och andra råvaror. Efter att demokraterna tog över makten i Vita huset, USA så har den nya ledningen med president Joe Biden i spetsen aviserat tydliga satsningar på en mer hållbar miljö vilket inkluderat satsningar på fossilfria drivmedel baserat på vegetabiliska oljor. Riskkonsulter från USA, som kontaktat Eatgood avseende Lightfry och luftfritering, anser att oljebranschen som är riktad mot att sälja drivmedel till fordon är i en starkare position och har lättare att ta ut ett högre pris från konsumenter och kommersiella aktörer än vad restaurangnäringen har gentemot sina kunder. Restaurangnäringen är mycket mer priskänslig framför allt i USA. När fler aktörer efterfrågar samma råvara och inga större nya mängder tillförs marknaden kommer den ökade efterfrågan driva upp priset på vegetabiliska oljor med risk och stor sannolikhet för brist och eller ransonering under det fjärde kvartalet 2021. Detta scenario innebör att man bör se över sin situation och restaurangverksamhet om den till stor del baseras på oljefritering för att kunna tillaga mat till försäljning. Vad händer om och när det blir oljebrist? Hur kan en restaurang/restaurangkedja säkerställa drift av sin verksamhet? För att hantera dessa risker så är Lightfry med luftfriteringsteknik ett spår som blir och ter sig allt mer intressant på marknaden för många aktörer. ""Air is the new oil"" - renare, billigare och bättre - med oändlig tillgång!Den 30 juni, hölls årsstämma i Eatgood Sweden AB (publ). Nedan följer en sammanfattning av besluten. Besluten fattades med erforderlig majoritet.Eatgood har fått en ny konceptkedja som kund för Lightfry i konceptet Superfood Garden (se superfood.garden) Detta är ett koncept med mycket tanke för miljö, mat, hälsa som tagit det hela ett steg längre med microodlingar i deras restauranger för produktion av örter och flertalet grönsaker. Lightfry passar in i konceptet då vår produkt liksom deras koncept Superfood Garden står för samma kärnvärden. Första anläggningarna ut är på Mallorca och i Tyska Aschaffenburg. Vi kommer se till att vara en nära samarbetspartner till Superfood Garden och ser fram emot den fortsatta expansionen för deras koncept i Europa, nu med Lightfry i programmet. Potential finns för fler än en Lightfry per anläggning beroende på restaurangens storlek och volymbehov. Initialt har beställning lagts på två Lightfry standard enheter till ordinarie listpris för återförsäljare/storkund.För att få deltaga i förhandlingarna på stämman skall aktieägare dels vara införd i den av Euroclear Sweden AB förda aktieboken senast måndagen den 21 juni 2021, dels senast torsdagen kl 17.00 den 24 juni 2021 anmäla sig till Bolaget under adress: EatGood Sweden AB, Källbäcksrydsgatan 6, 507 42&nbsp; BORÅS, via mail info@eatgood.seeller per telefon 033-10 11 80.EatGood Sweden AB avslutade fredag den 23 april sin företrädesemission. Emissionen tillförde bolaget 12 MSEK före emissionskostnader."
623,SE0009580517,"Sonetel uppvisade förlust i september p.g.a. valutakursändringar på skulder till dotterbolag. Kraftigt sänkta marknadsföringskostnader i oktober ledde till minskat kundinflöde men fortsatt tillväxt i virtuella telefonnummer.Sonetel - ett SaaS-företag listat på Nasdaq First North Growth Market Stockholm uppvisade en mindre förlust i augusti. Abonnemangsintäkterna ökade i september.Perioden i sammandragSonetel - ett SaaS-företag listat på Nasdaq First North Growth Market Stockholm - tidigarelägger sin Bokslutskommuniké till den 17 september.Sonetel - ett SaaS-företag listat på Nasdaq First North Growth Market Stockholm - redovisar förlust i juli. Antalet abonnemang på virtuella telefonnummer ökar och abonnemangsintäkterna är stabila.Sonetel - ett SaaS-företag listat på Nasdaq First North Growth Market Stockholm - redovisar förlust i juni. Abonnemangsintäkterna är fortsatt stabila samtidigt som bolaget genomför en mängd initiativ för tillväxt.Svenska Sonetel lanserar ett API - ett gränssnitt - som gör det möjligt för utvecklare globalt att enkelt integrera Sonetels tjänster med egna affärsprocesser och applikationer.Svenska Sonetel gör det nu möjligt för småföretagare i Kina att använda bolagets tjänster, genom att acceptera Alipay som betalmetod för bolagets tjänster. Alipay används av ca en halv miljard personer i Kina.Svenska Sonetels AI-tjänst (Artificiell Intelligens) utökas till att ha stöd för 20 språk. Tjänsten hjälper småföretag effektivisera sin kundtjänst genom att ge anställda svarsförslag när de hanterar inkommande kundfrågor.Sonetel - ett SaaS-företag listat på Nasdaq First North Growth Market Stockholm - redovisar förlust i maj samt fortsatt tillväxt av kundabonnemang i juni."
624,SE0009581051,"GOTHENBURG, Sweden, October 21, 2021 - Isofol Medical AB (publ), (Nasdaq Stockholm: ISOFOL), (""Isofol"" or the ""Company""), announced today that the Company's shares are admitted to trading on Nasdaq Stockholm.GÖTEBORG, Sverige, 21 oktober 2021 - Isofol Medical AB (publ), (Nasdaq Stockholm: ISOFOL), (""Isofol"" eller ""Bolaget""), tillkännagav idag att Bolagets aktier upptas till handel på Nasdaq Stockholm.GOTHENBURG, Sweden, October 18, 2021 - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), (""Isofol"" or the ""Company""), announced today that the prospectus prepared by the Company in connection with the listing on Nasdaq Stockholm has been approved and registered by the Swedish Financial Supervisory Authority (Finansinspektionen). The prospectus contains updated financial information, due to regulatory requirements, attributable to the Company's equity and liabilities as well as net indebtedness as of July 31, 2021. The prospectus is available on Isofol's website, isofolmedical.com and on the Swedish Financial Supervisory Authority's website, fi.se.GÖTEBORG, Sverige, 18 oktober 2021 - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), (""Isofol"" eller ""Bolaget""), tillkännagav idag att prospektet som upprättats av Bolaget i samband med noteringen på Nasdaq Stockholm har godkänts och registrerats av Finansinspektionen. I prospektet återfinns, på grund av regulatoriska krav, uppdaterad finansiell information per den 31 juli 2021 hänförlig till Bolagets eget kapital och skuldsättning samt nettoskuldsättning. Prospektet finns tillgängligt på Isofols hemsida, isofolmedical.com och på Finansinspektionens hemsida, fi.se.GOTHENBURG, Sweden, October 15, 2021 - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), (""Isofol"" or the ""Company""), announced today that the Company intends to list its shares on Nasdaq Stockholm. Isofol's shares are currently traded on Nasdaq First North Premier Growth Market under the ticker ISOFOL.GÖTEBORG, Sverige, 15 oktober 2021 - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), (""Isofol"" eller ""Bolaget""), tillkännagav idag att Bolaget avser att notera sina aktier på Nasdaq Stockholm. Isofols aktier handlas för närvarande på Nasdaq First North Premier Growth Market under kortnamnet ISOFOL.Isofol Medical reported a Q2 operating loss of cSEK45m, slightly better than our expected loss of cSEK51m. The financial risk has decreased following a successful capital raise, and the end-Q2 cash position was cSEK531m. With all parts of the phase III study fully completed and a comfortable financial position, the company can now shift its focus from clinical to commercial development and we expect a ramp-up in costs as pre-commercial activity intensifies. We reiterate our fair value of SEK13-23.GÖTEBORG, Sverige, 24 augusti 2021 - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), tillkännagav idag att bolagets halvårsrapport för januari-juni 2021 nu finns tillgänglig på bolagets hemsida, isofolmedical.com.GÖTEBORG, 23 juni 2021 - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), meddelar idag att bolagets årsstämma avhållits och att följande huvudsakliga beslut fattades av aktieägarna.Today on June 23, 2021 in Gothenburg - Isofol Medical AB (publ), (Nasdaq First North Premier Growth Market: ISOFOL), held its annual general meeting (""AGM"") at which the following principal resolutions were passed."
625,SE0009664303,"Tangiamo Touch Technology AB (""Tangiamo"" eller ""Bolaget"") har fått en första order på sin Slotmaskin med Sicbo från Pefaco i Burkina Faso. Leverans sker i slutet på Q4 alternativt under Q1 2022. Ordern är värd ca 16&nbsp;000 euro.Tangiamo Touch Technology AB (""Tangiamo"" eller ""Bolaget"") har ingått ett avtal med Grupo Caribant om licenstillverkning för de marknader där Caribant är Tangiamos distributör. Avtalet gäller inledande en typ av spelbord till Caribants egna spelhallar och en potentiell affär på 6-30 MSEK.Tangiamo Touch Technology AB (""Tangiamo"" eller ""Bolaget"") summerar G2E och hur den nyöppnade marknaden svarat på Bolagets nya produkter.Tangiamo Touch Technology AB (""Tangiamo"" eller ""Bolaget"") har mottagit en order på ca 1 MSEK från Grupo Caribant. Ordern gäller spelbord och ska levereras under Q4. &nbsp;2021-10-05pga. av komponentbrist har vi ej kunnat leverera enligt planTangiamo Touch Technology AB, org.nr 556655-3839 (""Tangiamo"" eller ""Bolaget""), höll idag den12 augusti 2021 extra bolagsstämma. Mot bakgrund av spridningen av viruset som orsakar covid-19 genomfördes stämman enbart genom poströstning. Stämman fattade följande huvudsakliga beslut.Aktieägarna i Tangiamo Touch Technology AB, org.nr 556655-3839 (""Tangiamo"" eller ""Bolaget""), kallas härmed till extra bolagsstämma onsdagen den 12 augusti 2021.INFORMATIONEN I DETTA PRESSMEDDELANDE ÄR INTE AVSEDD ATT PUBLICERAS, OFFENTLIGGÖRAS, ELLER DISTRIBUERAS, DIREKT ELLER INDIREKT, I ELLER TILL, USA, AUSTRALIEN, HONGKONG, KANADA, SINGAPORE, ELLER NÅGON ANNAN JURISDIKTION DÄR SÅDAN PUBLICERING ELLER DISTRIBUTION SKULLE VARA OTILLÅTEN ELLER KRÄVA REGISTRERING ELLER ANDRA ÅTGÄRDER. YTTERLIGARE RESTRIKTIONER ÄR TILLÄMPLIGA. SE AVSNITTET ""VIKTIG INFORMATION"" I SLUTET AV DETTA PRESSMEDDELANDE.Tangiamo Touch Technology AB (""Tangiamo"" eller ""Bolaget"") har mottagit en order på ca 0,5 MSEK från Abbiati för slutkunder inom Online. Orden gäller ADR enheter med leverans under början av Q3."
626,SE0009607252,"Stockholm den 17 september 2021 - Intervacc AB (publ) meddelar idag att engelska Veterinary Medicines Directorate, VMD har beviljat ett marknadsföringstillstånd för Strangvac i Storbritannien. Strangvac är ett vaccin mot den mycket smittsamma och allvarliga infektionssjukdomen kvarka som drabbar hästar över hela världen.Stockholm, September 17, 2021 - Intervacc AB (""Intervacc"") announced today that the Veterinary Medicines Directorate (VMD) of the United Kingdom has granted a Marketing Authorisation for Strangvac within the UK. Strangvac is a vaccine against equine strangles, a highly contagious infectious disease that affects horses globally.The period in summaryPerioden i sammandragStockholm August 25, 2021 - Intervacc has stated in the published financial calendar that the report for the first half of 2021 would be made public on September 3, 2021. The report will be made public on August 31, 2021 in accordance with the rules of the Nasdaq First North Growth Market.Stockholm den 25 augusti 2021 - Intervacc har i den publicerade finansiella kalendern angett att rapporten för första halvåret 2021 skulle göras offentlig den 3 september 2021. Rapporten kommer att göras offentlig den 31 augusti 2021 i enlighet med reglerna för Nasdaq First North Growth Market.Stockholm, August 23, 2021 - Intervacc AB (""Intervacc"") announced today that the Norwegian Medicines Agency (NoMA) has granted a marketing authorisation for Strangvac within Norway. Strangvac is a vaccine against equine strangles, a highly contagious infectious disease that affects horses globally.Stockholm den 23 augusti 2021 - Intervacc AB (publ) meddelar idag att norska läkemedelsverket, Norwegian Medicines Agency (NoMA) har beviljat marknadsföringstillstånd för Strangvac i Norge. Strangvac är ett vaccin mot den mycket smittsamma och allvarliga infektionssjukdomen kvarka som drabbar hästar över hela världen.Stockholm den 16 augusti 2021 - Intervacc AB (publ) meddelar att EU-kommissionen beviljat marknadsföringstillstånd för Strangvac inom EU. Strangvac är ett vaccin mot den mycket smittsamma och allvarliga infektionssjukdomen kvarka som drabbar hästar över hela världen.Stockholm, August 16, 2021 - Intervacc AB (""Intervacc"") announced today that the European Commission has granted a Marketing Authorisation for Strangvac within the European Union. Strangvac is a vaccine against equine strangles, a highly contagious infectious disease that affects horses globally."
627,SE0009664253,"Enligt instruktion antagen vid bolagsstämma i Instalco AB den 6 maj 2021 ska valberedningen bestå av styrelsens ordförande och tre ledamöter utsedda av de tre till röstetalet största aktieägarna i bolaget. Om någon av dessa aktieägare väljer att avstå från sin rätt att utse en ledamot går turen vidare till den närmast därefter till röstetalet största aktieägaren.In accordance with the principles adopted by the general meeting in Instalco AB held on 6 May 2021, the Nomination Committee shall be comprised of the Chairman of the Board of Directors and three members appointed by the three shareholders with the largest number of votes in the company. If either of the shareholders with the largest number of votes waives their right to appoint a member, the shareholder with the next largest shareholding shall be offered the opportunity to appoint a member.Instalco offentliggör sin delårsrapport Q3 2021 den 9 november klockan 11.00. I samband med rapporten håller Instalco en telefonkonferens med webbpresentation samma dag klockan 14.00.Instalco will release its Interim report Q3 2021 on 9 November at 11:00 CET. Instalco will also be presenting the report in a phone conference with webcast at 14:00 on the same day.Instalco is acquiring Kompressorteknik ML AB and thereby expanding its Industrial business area. The acquisition also means that the Instalco Group has surpassed the milestone of 100 subsidiaries.Instalco förvärvar Kompressorteknik ML AB och växer inom affärsområdet Industri. Förvärvet innebär att Instalco nu passerat milstolpen 100 dotterbolag.Instalco förvärvar Blomquist-koncernen i Bollnäs med omsättning på cirka 160 miljoner. Blomquist-koncernen med 80 anställda tillhandahåller tjänster främst inom värme, kyla och ventilation och verksamheten bedrivs i huvudsak i Hälsingland.Instalco is acquiring the Blomquist Group in Bollnäs, Sweden. It has annual sales of approximately SEK 160 million. The Blomquist Group has 80 employees providing services primarily in the areas of heating, cooling and ventilation. Most of its customers are in the region of Hälsingland, Sweden.Instalcobolagen Elektro-Centralen och Tingstad Rörinstallationer har fått ett gemensamt uppdrag att utföra el- och VS-installationer vid bygget av SEEL, en ny forskningsanläggning för el- och laddfordon i Göteborg.The Instalco companies, Elektro-Centralen and Tingstad Rörinstallationer have won a joint assignment for the electrical and heating &amp; plumbing installations in conjunction with the construction of Sweden's new electromobility test center in Gothenburg: Swedish Electric Transport Laboratory (SEEL)."
629,SE0009806607,"[image] CEO&nbsp;comments:Juli-september 2021Valberedningen för Munters Group AB (publ), en världsledande leverantör av energieffektiva luftbehandlings- och klimatlösningar, har nu utsetts.The Nomination Committee of Munters Group AB (publ), a global leader in energy efficient air treatment and climate solutions, has now been appointed.Grete Solvang Stoltz, för närvarande Senior Vice President Human Resources and Sustainability på LKAB, har utsetts till ny Group Vice President HR and Sustainability på Munters och kommer att ingå i ledningsgruppen.On 22 October at 07.30am CEST, Munters will release the interim report for the third quarter 2021.Den 22 oktober klockan 07.30 CEST publicerar Munters sin delårsrapport för tredje kvartalet 2021.Klimatförändringen driver den globalt växande efterfrågan på litiumbatterier. Munters har tecknat ett strategiskt kontrakt som innebär att bolaget får totalentreprenad inkluderande design och byggnation av ett litiumbatterilaboratorium i Skandinavien. Detta är ännu en bekräftelse på Munters position som en ledande leverantör till tillverkare av litiumbatterier.The climate change is driving the globally growing demand for lithium batteries. Munters has signed a strategic turnkey project to design and build a lithium battery laboratory in Scandinavia. This is yet another confirmation of Munters' position as a leading supplier to manufacturers of lithium batteries.In addition, costs were recorded as incurred related to consultancy services for the execution of the strategy implementation."
630,SE0009805401,Kvartalsrapport andra kvartalet 2021Q2-2021
